pulse,radar,site_name,source_files,valid_hours,matched_hours,grid_distance_km,variable,count,observed_mean,modelled_mean,bias,mae,rmse
lp,iesha,Shannon,214,2645,2032,13.1,vid_birds_per_km2,2032,0.19457984302679454,0.004671093897761398,-0.18990874912903316,0.19611179631432318,0.49880499502307535
lp,iesha,Shannon,214,2645,2032,13.1,bird_u_ms,2032,3.2123311350012256,2.386287350747546,-0.8260437842536796,4.517450392265037,6.235754258808691
lp,iesha,Shannon,214,2645,2032,13.1,bird_v_ms,2032,2.1301630659812023,2.3607589700133325,0.23059590403213046,4.27825090754414,5.95893659699684
lp,pooled,All seven sites,2316,24101,18528,,mtr_birds_km_h,18528,85.12405701457992,4.951703619812472,-80.17235339476744,84.11212330843153,288.50789348666876
lp,pooled,All seven sites,2316,24101,18528,,vid_birds_per_km2,18528,2.9127587064037743,0.35438621010009974,-2.558372496303675,2.7217089559402,6.2677493390098284
lp,pooled,All seven sites,2316,24101,18528,,bird_u_ms,18528,1.1797688200739627,2.2184002681151282,1.038631448041166,3.428879015216125,4.424464803117598
lp,pooled,All seven sites,2316,24101,18528,,bird_v_ms,18528,0.909144799829391,1.0987772060261898,0.1896324061967989,2.8693653088915636,3.7856583831678683
sp,bejab,Jabbeke,350,8081,6876,7.8,mtr_birds_km_h,6876,219.01779171866903,26.120705755496186,-192.89708596317286,196.27911645658003,463.8095371158565
sp,bejab,Jabbeke,350,8081,6876,7.8,vid_birds_per_km2,6876,7.656268307359012,3.630078398014084,-4.026189909344928,4.725475513289777,8.578244326276588
sp,bejab,Jabbeke,350,8081,6876,7.8,bird_u_ms,6876,1.692733184389172,5.338850889689315,3.6461177053001435,5.397446354116951,6.980611968702314
sp,bejab,Jabbeke,350,8081,6876,7.8,bird_v_ms,6876,0.905114061297845,-0.17417237386522635,-1.0792864351630713,4.2912042218594575,5.401708058487384
sp,frabb,Abbeville,356,2126,1509,14.0,mtr_birds_km_h,1509,5.302467890562364,24.447694286426675,19.145226395864313,24.974897635256525,31.034822340286166
sp,frabb,Abbeville,356,2126,1509,14.0,vid_birds_per_km2,1509,0.13228582047627138,0.619992137229536,0.48770631675326453,0.633413549556003,0.7624149086439914
sp,frabb,Abbeville,356,2126,1509,14.0,bird_u_ms,1509,0.6191864782023403,6.263184538563707,5.643998060361367,7.695262600054016,9.819052681036247
sp,frabb,Abbeville,356,2126,1509,14.0,bird_v_ms,1509,0.7098448634094177,2.464027522461195,1.754182659051777,5.522508707022738,6.744904982403818
sp,frave,Avesnes,338,1824,1187,14.2,mtr_birds_km_h,1187,7.175645238073024,41.31802457776013,34.1423793396871,42.39931720726308,56.36110632008311
sp,frave,Avesnes,338,1824,1187,14.2,vid_birds_per_km2,1187,0.12734169926294547,0.0002452806997377273,-0.12709641856320775,0.12750280257821428,0.6584926906800753
sp,frave,Avesnes,338,1824,1187,14.2,bird_u_ms,1187,0.8895882740830318,6.721743616694284,5.8321553426112525,7.568176589075871,9.682479801079435
sp,frave,Avesnes,338,1824,1187,14.2,bird_v_ms,1187,0.8060591943272455,2.4846254750762737,1.678566280749028,5.21559014733004,6.455834530275109
sp,frcae,Falaise,353,2965,2122,10.9,mtr_birds_km_h,2122,5.451292545193171,26.27775227031895,20.826459725125776,25.972971218682606,36.52206493385356
sp,frcae,Falaise,353,2965,2122,10.9,vid_birds_per_km2,2122,0.11546552808275912,1.693579694217129e-05,-0.11544859228581696,0.11547408820734756,0.47298715554060966
sp,frcae,Falaise,353,2965,2122,10.9,bird_u_ms,2122,0.6103777312820401,5.0292804994125735,4.4189027681305335,7.0252045341132145,8.712569009616043
sp,frcae,Falaise,353,2965,2122,10.9,bird_v_ms,2122,0.8611296153441872,3.262396761443624,2.401267146099437,5.617197352650081,6.812134706232775
sp,frpla,Plabennec,349,3129,2237,6.7,mtr_birds_km_h,2237,3.433433677802285,9.944439669619445,6.51100599181716,11.403182503052195,25.316564156440894
sp,frpla,Plabennec,349,3129,2237,6.7,vid_birds_per_km2,2237,0.07874790983242107,0.023842264377254254,-0.05490564545516681,0.09523033494961536,0.4231337886205268
sp,frpla,Plabennec,349,3129,2237,6.7,bird_u_ms,2237,0.08218272430491065,3.8269595641978515,3.744776839892941,7.307533852155659,8.91095495319387
sp,frpla,Plabennec,349,3129,2237,6.7,bird_v_ms,2237,0.5097616871304961,3.1230288819595624,2.613267194829066,6.427376960154793,7.743406833676958
sp,frtre,Treillieres,356,3331,2565,12.0,mtr_birds_km_h,2565,2.4981174303806433,14.285699777914507,11.787582347533863,14.59632608640794,18.524359291310514
sp,frtre,Treillieres,356,3331,2565,12.0,vid_birds_per_km2,2565,0.06072333910626549,0.08784349561315336,0.027120156506887864,0.13180690595992575,0.30994836592014907
sp,frtre,Treillieres,356,3331,2565,12.0,bird_u_ms,2565,0.08682591779862678,3.8320984978137482,3.7452725800151216,7.032816899026898,8.733888011801506
sp,frtre,Treillieres,356,3331,2565,12.0,bird_v_ms,2565,0.5056440995160361,3.7085130993190427,3.202868999803006,6.08248470342284,7.349690686615277
sp,iesha,Shannon,214,2645,2032,13.1,mtr_birds_km_h,2032,14.290045490672759,5.605132905990626,-8.684912584682133,14.956801982915685,36.04724679667313
sp,iesha,Shannon,214,2645,2032,13.1,vid_birds_per_km2,2032,0.19457984302679454,0.3352916579074801,0.14071181488068557,0.37238254999618847,0.5225183572724524
sp,iesha,Shannon,214,2645,2032,13.1,bird_u_ms,2032,3.2123311350012256,5.134464883954992,1.9221337489537669,7.089378419696306,8.89179894797126
sp,iesha,Shannon,214,2645,2032,13.1,bird_v_ms,2032,2.1301630659812023,4.475913065486634,2.3457499995054314,6.602989077945289,8.3045091593356
sp,pooled,All seven sites,2316,24101,18528,,mtr_birds_km_h,18528,85.12405701457992,21.1345849784483,-63.98947203613161,85.60479690405661,283.7884629845218
sp,pooled,All seven sites,2316,24101,18528,,vid_birds_per_km2,18528,2.9127587064037743,1.4494970124300284,-1.463261693973746,1.8972565215975066,5.241612279960265
sp,pooled,All seven sites,2316,24101,18528,,bird_u_ms,18528,1.1797688200739627,5.053724142657889,3.8739553225839263,6.552658006752486,8.333948711433464
sp,pooled,All seven sites,2316,24101,18528,,bird_v_ms,18528,0.909144799829391,2.050208965520363,1.1410641656909717,5.362007420452173,6.693255984659506
